INDEX,DATE,INDUTY_NM,BRTC_NM,SIGUNGU_NM,EMD,LA_DCMLPOINT_VALUE,LO_DCMLPOINT_VALUE,DIVISION
231,20200123,카페,경기,여주시 ,홍문동,37.295***,127.635***,1
233,20200124,곰탕,경남,거제시 ,고현동,34.889***,128.625***,1
235,20200124,돼지국밥,경남,양산시 ,용당동,35.427***,129.188***,1
238,20200124,치킨,전북,군산시 ,나운동,35.967***,126.700***,1
239,20200124,카페-디저트,강원,춘천시 ,효자3동,37.873***,127.745***,1
240,20200124,한식,강원,원주시 ,단계동,37.350***,127.932***,1
241,20200124,한식,전남,목포시 ,상동,34.796***,126.430***,1
246,20200125,분식,전북,전주시 완산구,평화동1가,35.793***,127.133***,1
250,20200125,한식,인천,서구,당하동,37.591***,126.668***,1
251,20200125,한식,대전,유성구,봉명동,36.357***,127.343***,1
261,20200128,죽전문점,경기,성남시 중원구,성남동,37.432***,127.129***,0
264,20200129,냉면,인천,남동구,만수동,37.451***,126.732***,0
280,20200130,일식튀김.꼬치,경기,김포시 ,장기동,37.644***,126.667***,0
283,20200130,족발.보쌈,서울,송파구,장지동,37.477***,127.127***,0
284,20200130,치킨,서울,은평구,불광동,37.621***,126.927***,0
285,20200130,카페-스터디 ,대구,수성구,만촌3동,35.858***,128.646***,1
290,20200131,삼계탕,서울,중랑구,면목동,37.584***,127.088***,0
292,20200131,육류.고기요리,경북,영천시 신녕면,매양리,36.043***,128.782***,0
294,20200131,치킨,전북,정읍시 신태인읍,신태인리,35.687***,126.886***,1
296,20200131,해장국,전북,군산시 ,나운2동,35.964***,126.702***,1
298,20200201,꽈배기전문,충북,청주시 상당구,탑동,36.630***,127.502***,1
303,20200201,한식,경남,진주시 ,상평동,35.175***,128.112***,1
308,20200202,돼지국밥,경남,진주시 ,상평동,35.170***,128.113***,1
310,20200202,분식,경북,구미시 ,황상동,36.107***,128.419***,1
317,20200203,카페,부산,동구,범일동,35.138***,129.056***,0
328,20200204,육류.고기요리,대전,서구,탄방동,36.345***,127.381***,0
335,20200205,분식,충북,진천군 진천읍,교성리,36.852***,127.443***,1
339,20200205,일식,경기,수원시 장안구,송죽동,37.299***,127.006***,1
343,20200205,한식,경남,진주시 진성면,상촌리,35.186***,128.224***,1
344,20200205,한식,전북,전주시 완산구,서서학동,35.799***,127.151***,1
345,20200205,한식,경기,군포시 ,산본동,37.371***,126.941***,0
356,20200206,한식,경기,하남시 ,풍산동,37.570***,127.182***,1
357,20200206,한식,충북,충주시 ,연수동,36.989***,127.936***,1
358,20200206,한식,경북,경산시 ,중방동,35.824***,128.732***,1
359,20200206,한식,경북,구미시 ,사곡동,36.096***,128.359***,1
361,20200207,돼지국밥,울산,동구,서부동,35.525***,129.432***,1
365,20200207,치킨,경남,창원시 진해구,충무동,35.151***,128.668***,1
366,20200207,카페-디저트,서울,강남구,역삼동,37.500***,127.039***,0
368,20200207,한식,경기,광주시 퇴촌면,광동리,37.471***,127.313***,1
375,20200208,한식,경기,화성시 향남읍,발안리,37.134***,126.896***,1
385,20200210,중국음식,서울,중랑구,망우동,37.597***,127.100***,0
390,20200211,족발.보쌈,경기,성남시 분당구,서현1동,37.383***,127.125***,0
392,20200211,한식,서울,관악구,신림동,37.487***,126.926***,0
393,20200211,한식,경기,평택시 포승읍,신영리,36.946***,126.871***,0
415,20200212,치킨,인천,중구,운서동,37.496***,126.498***,1
419,20200213,김밥,대구,북구,사수동,35.898***,128.509***,1
420,20200213,떡볶이,충남,서산시 ,동문동,36.777***,126.457***,1
429,20200213,한식,강원,속초시 ,교동,38.195***,128.574***,1
430,20200213,한식,강원,원주시 ,행구동,37.343***,128.006***,1
431,20200213,한식,경남,창원시 진해구,이동,35.152***,128.695***,1
448,20200214,족발.보쌈,경기,하남시 ,신장동,37.536***,127.207***,0
449,20200214,중국음식,서울,영등포구,여의도동,37.530***,126.916***,0
451,20200214,한식,세종,세종특별자치시  ,나성동,36.485***,127.258***,1
452,20200214,한식,전남,화순군 화순읍,유천리,35.063***,126.992***,1
459,20200215,한식,부산,사하구,다대1동,35.056***,128.970***,1
460,20200215,한식,부산,사하구,다대1동,35.056***,128.970***,1
466,20200216,중국음식,강원,원주시 ,단계동,37.347***,127.928***,1
468,20200217,감자탕,서울,중랑구,면목동,37.589***,127.074***,0
471,20200217,분식,경기,평택시 ,비전동,36.999***,127.094***,0
472,20200217,샤브샤브,인천,남동구,만수동,37.461***,126.731***,0
473,20200217,스테이크,충북,청주시 흥덕구,복대동,36.642***,127.427***,0
479,20200217,한식,경기,남양주시 화도읍,금남리,37.630***,127.350***,0
503,20200219,일식,경기,남양주시 화도읍,마석우리,37.656***,127.304***,1
504,20200219,일식,경기,남양주시 ,평내동,37.646***,127.236***,1
505,20200219,일식,경기,남양주시 ,평내동,37.646***,127.236***,1
506,20200219,일식,경기,남양주시 화도읍,마석우리,37.656***,127.304***,1
509,20200219,치킨,경기,화성시 영천[동탄면]동,영천동,37.205***,127.125***,1
512,20200219,한식,충북,진천군 덕산읍,용몽리,36.914***,127.516***,1
527,20200220,중국음식,울산,중구,반구동,35.553***,129.348***,1
530,20200220,출장요리,경기,과천시 ,중앙동,37.430***,126.988***,0
531,20200220,카페,경남,합천군 합천읍,합천리,35.561***,128.156***,1
536,20200220,한식,경기,용인시 수지구,상현동,37.295***,127.078***,1
537,20200220,한식,울산,울주군 삼남면,교동리,35.562***,129.117***,1
556,20200221,치킨,부산,북구,구포동,35.199***,129.005***,1
560,20200222,돼지국밥,부산,해운대구,송정동,35.181***,129.204***,1
566,20200222,칼국수,충남,계룡시 엄사면,엄사리,36.286***,127.232***,1
571,20200223,중국음식,충남,부여군 부여읍,동남리,36.273***,126.912***,1
573,20200223,치킨,울산,중구,남외동,35.571***,129.342***,1
581,20200225,장어,서울,서초구,잠원동,37.514***,127.018***,0
586,20200225,치킨,대구,중구,삼덕동2가,35.866***,128.600***,0
597,20200227,중국음식,경기,시흥시 ,정왕동,37.346***,126.741***,1
598,20200227,카페,대구,동구,신천4동,35.868***,128.627***,0
612,20200229,치킨,경북,영주시 풍기읍,산법리,36.878***,128.533***,1
615,20200229,한식,세종,세종특별자치시  ,어진동,36.502***,127.259***,1
616,20200229,한식,경남,김해시 ,삼방동,35.245***,128.907***,1
617,20200229,횟집,전남,여수시 돌산읍,우두리,34.731***,127.737***,1
622,20200301,중국음식,서울,중구,순화동,37.561***,126.972***,1
623,20200301,치킨,강원,강릉시 ,지변동,37.772***,128.869***,1
624,20200301,치킨,충북,청주시 서원구,수곡2동,36.620***,127.469***,1
625,20200301,카페,경기,용인시 수지구,신봉동,37.324***,127.077***,1
627,20200301,한식,경북,영덕군 영덕읍,덕곡리,36.414***,129.369***,1
628,20200301,해장국,충남,서산시 대산읍,화곡리,36.999***,126.452***,1
686,20200305,치킨,전남,해남군 문내면,동외리,34.597***,126.312***,1
687,20200305,치킨,경남,창원시 의창구,팔용동,35.256***,128.610***,0
688,20200305,카페,경기,김포시 ,운양동,37.655***,126.681***,0
689,20200305,한식,경기,광명시 ,일직동,37.417***,126.888***,1
690,20200305,한식,강원,춘천시 ,우두동,37.899***,127.729***,1
697,20200306,치킨,경기,성남시 중원구,성남동,37.437***,127.143***,1
699,20200306,한식,경기,포천시 이동면,도평리,38.073***,127.413***,1
700,20200306,한식,대전,서구,관저동,36.300***,127.337***,1
705,20200307,돈가스,서울,종로구,도렴동,37.573***,126.974***,1
710,20200307,한식,부산,남구,대연동,35.134***,129.097***,1
721,20200308,한식부페,경기,수원시 장안구,영화동,37.290***,127.015***,1
723,20200309,카페,충북,증평군 증평읍,초중리,36.780***,127.575***,1
731,20200311,김밥,서울,은평구,불광동,37.622***,126.929***,1
741,20200311,치킨,광주,북구,신용동,35.208***,126.863***,1
755,20200312,한식,경북,영천시 ,망정동,35.986***,128.954***,1
1063,20200313,쭈꾸미요리,경기,안산시 상록구,이동,37.308***,126.847***,1
1070,20200314,족발.보쌈,충북,단양군 단양읍,도전리,36.980***,128.369***,1
1073,20200314,한식,충남,청양군 청양읍,읍내리,36.451***,126.802***,1
1074,20200314,한식,광주,광산구,수완동,35.191***,126.831***,1
1075,20200315,냉면,광주,북구,운암동,35.175***,126.880***,1
1080,20200315,양식,경북,구미시 산동면,신당리,36.155***,128.428***,1
1085,20200316,분식,경북,구미시 ,거의동,36.141***,128.396***,0
1088,20200316,카페,대구,남구,대명동,35.834***,128.579***,0
1099,20200318,한식,제주,제주시 ,삼도1동,33.506***,126.519***,1
1125,20200320,닭발,서울,종로구,관수동,37.569***,126.988***,0
1131,20200320,치킨,경남,김해시 ,내동,35.236***,128.858***,1
1141,20200321,한식,경기,수원시 권선구,평동,37.259***,126.993***,1
1142,20200321,한식,경북,경산시 ,사동,35.819***,128.753***,1
1148,20200322,중국음식,경기,광명시 ,철산동,37.476***,126.862***,1
1152,20200322,한식,전남,목포시 ,상동,34.798***,126.422***,1
1153,20200322,한식,전남,목포시 ,상동,34.798***,126.422***,1
1155,20200324,도시락,서울,동대문구,전농동,37.583***,127.053***,0
1158,20200324,일식,부산,기장군 정관읍,매학리,35.320***,129.176***,0
1183,20200325,치킨,서울,강서구,등촌동,37.558***,126.845***,1
1184,20200325,치킨,전남,해남군 해남읍,읍내리,34.571***,126.600***,1
1194,20200327,닭갈비,대전,동구,자양동,36.338***,127.450***,1
1199,20200327,전.빈대떡.부침,경기도,부천시 ,역곡1동,37.488***,126.812***,1
1201,20200327,중국음식,광주,북구,신용동,35.207***,126.863***,1
1202,20200327,치킨,경기,용인시 처인구,고림동,37.237***,127.217***,0
1203,20200327,치킨,서울,마포구,신수동,37.547***,126.933***,0
1204,20200327,한식,제주,제주시 ,삼도1동,33.498***,126.524***,1
1209,20200330,카페,서울,서초구,서초1동,37.495***,127.020***,0
1218,20200331,일식,서울,강남구,역삼동,37.498***,127.031***,0
1226,20200401,한식,충남,공주시 유구읍,석남리,36.550***,126.951***,1
1230,20200402,곱창.양구이,경기,파주시 문산읍,선유리,37.859***,126.786***,1
1238,20200402,카페,경북,경산시 ,중방동,35.824***,128.735***,1
1258,20200403,치킨,경북,김천시 ,부곡동,36.125***,128.105***,1
1259,20200403,카페,경기,수원시 장안구,조원동,37.303***,127.008***,1
1260,20200403,카페,경기,수원시 장안구,조원동,37.303***,127.008***,1
1262,20200403,한식,서울,도봉구,쌍문4동,37.658***,127.028***,1
1284,20200405,분식,전북,전주시 덕진구,만성동,35.842***,127.077***,1
1285,20200405,육류 ,전북,정읍시 ,수성동,35.581***,126.856***,1
1289,20200405,한식,경기,안산시 상록구,일동,37.309***,126.870***,1
1294,20200406,분식,서울,은평구,진관동,37.644***,126.914***,0
1301,20200408,돼지국밥,경북,울진군 후포면,삼율리,36.684***,129.441***,1
1308,20200408,한식,충남,천안시 서북구,쌍용1동,36.807***,127.130***,1
1311,20200409,양식,대구,북구,산격3동,35.890***,128.606***,1
1326,20200410,치킨,경기,용인시 처인구,둔전리,37.272***,127.222***,1
1327,20200410,치킨,인천,남구,숭의동,37.467***,126.652***,1
1339,20200412,돼지국밥,울산,울주군 온산읍,덕신리,35.434***,129.313***,1
1340,20200412,돼지국밥,울산,남구,달동,35.542***,129.331***,1
1348,20200412,한식,부산,영도구,동삼동,35.078***,129.069***,1
1356,20200414,중국음식,서울,노원구,상계동,37.670***,127.079***,0
1357,20200414,치킨,서울,양천구,목동,37.532***,126.869***,0
1358,20200414,한식,전북,진안군 마령면,동촌리,35.758***,127.395***,0
1362,20200415,치킨,경북,포항시 북구,양덕동,36.088***,129.390***,1
1364,20200415,한식,경북,칠곡군 왜관읍,왜관리,35.982***,128.395***,1
1365,20200415,한식,전남,목포시 ,연산동,34.811***,126.381***,1
1370,20200416,카페,경북,영천시 신녕면,완전리,36.039***,128.788***,1
1371,20200416,한식,경남,양산시 물금읍,가촌리,35.319***,128.998***,1
1372,20200416,한식,전남,순천시 해룡면,신대리,34.932***,127.553***,1
1375,20200417,돼지갈비,대구,달서구,월암동,35.828***,128.510***,0
1378,20200417,샌드위치,강원,춘천시 ,온의동,37.854***,127.754***,0
1383,20200417,한식,경남,창녕군 창녕읍,교리,35.547***,128.497***,1
1385,20200418,분식,광주,서구,풍암동,35.120***,126.878***,1
1386,20200418,치킨,부산,동래구,온천1동,35.214***,129.077***,1
1387,20200418,한식,부산,수영구,남천동,35.139***,129.109***,1
1401,20200419,빵.과자,경기,고양시 일산동구,중산동,37.678***,126.779***,1
1402,20200419,빵.과자,경기,고양시 일산동구,중산동,37.678***,126.779***,1
1403,20200419,빵.과자,경기,고양시 일산동구,중산동,37.678***,126.779***,1
1405,20200419,카페,경남,거제시 ,수월동,34.891***,128.645***,1
1406,20200419,한식,경북,울진군 후포면,삼율리,36.680***,129.443***,1
1433,20200422,샤브샤브,서울,광진구,구의동,37.538***,127.089***,0
1435,20200422,순대.순대국,강원,원주시 ,관설동,37.320***,127.962***,1
1439,20200422,족발.보쌈,서울,서대문구,홍제동,37.588***,126.943***,0
1441,20200422,치킨,경기,평택시 ,세교동,37.000***,127.080***,1
1444,20200422,한식,충북,청주시 청원구,율량동,36.665***,127.494***,1
1456,20200423,한식,부산,부산진구,양정동,35.174***,129.075***,1
1471,20200424,카페,서울,강서구,마곡동,37.563***,126.839***,1
1475,20200424,한식,경기,남양주시 와부읍,월문리,37.595***,127.226***,1
1476,20200424,한식,강원,춘천시 ,석사동,37.849***,127.749***,1
1477,20200424,한식,대전,유성구,구암동,36.354***,127.334***,1
1478,20200424,한식,경남,창원시 마산회원구,양덕동,35.233***,128.583***,1
1483,20200425,카페,부산,동래구,수안동,35.200***,129.082***,1
1485,20200425,한식,충남,천안시 서북구,두정동,36.833***,127.142***,1
1498,20200427,한식,전북,익산시 ,마동,35.936***,126.961***,1
1511,20200506,족발.보쌈,부산,북구,덕천동,35.211***,129.016***,0
1514,20200506,치킨,인천,연수구,옥련동,37.423***,126.653***,0
1515,20200506,한식,전북,군산시 ,비응도동,35.941***,126.534***,0
1529,20200508,치킨,전북,전주시 완산구,서신동,35.833***,127.110***,1
1544,20200511,삼겹살,서울,마포구,용강동,37.539***,126.944***,0
1545,20200511,한식,경기,의왕시 ,학의동,37.385***,127.010***,0
1549,20200512,순대국밥,부산,부산진구,부전동,35.157***,129.060***,0
1560,20200514,양식,서울,강동구,천호동,37.541***,127.125***,1
1561,20200514,육류 ,울산,동구,방어동,35.491***,129.427***,0
1566,20200514,한식,경남,진주시 ,상봉동,35.199***,128.075***,1
1570,20200515,닭갈비,세종,세종특별자치시  ,다정동,36.493***,127.248***,1
1574,20200515,일식,경기,용인시 기흥구,고매동,37.224***,127.116***,1
1575,20200515,족발.보쌈,서울,송파구,방이동,37.510***,127.124***,0
1576,20200515,카페,대구,동구,효목2동,35.877***,128.640***,0
1585,20200516,중국음식,대구,동구,신천3동,35.874***,128.620***,1
1587,20200516,한식,강원,동해시 ,천곡동,37.520***,129.118***,1
1589,20200518,곱창.양구이,경기,광명시 ,광명동,37.477***,126.856***,0
1599,20200519,한식,광주,서구,쌍촌동,35.146***,126.866***,1
1609,20200520,비빕밥,경기,평택시 ,평택동,36.990***,127.086***,0
1616,20200520,한식,강원,춘천시 남산면,광판리,37.743***,127.709***,1
1628,20200522,카페-디저트,경기,수원시 장안구,송죽동,37.297***,127.006***,1
1629,20200522,한식,경기,시흥시 ,정왕동,37.346***,126.741***,1
1630,20200522,한우고기,전북,익산시 ,영등동,35.954***,126.973***,0
1645,20200523,족발.보쌈,울산,남구,신정동,35.541***,129.322***,1
1648,20200523,치킨,경기,이천시 ,창전동,37.280***,127.449***,1
1650,20200523,한식,경기,광명시 ,철산동,37.476***,126.865***,1
1651,20200523,한식,전남,고흥군 도양읍,봉암리,34.527***,127.134***,1
1654,20200525,족발.보쌈,서울,송파구,신천동,37.519***,127.099***,0
1732,20200526,곱창.양구이,세종,세종특별자치시  ,도담동,36.515***,127.257***,0
1733,20200526,곱창.양구이,충남,보령시 ,동대동,36.344***,126.603***,0
1815,20200526,김밥,대구,서구,비산2.3동,35.872***,128.571***,0
1853,20200526,닭집,경남,진주시 ,유곡동,35.193***,128.076***,0
1863,20200526,도너츠,제주,서귀포시 성산읍,성산리,33.462***,126.935***,0
1875,20200526,돈가스,경북,상주시 ,복룡동,36.416***,128.168***,0
1876,20200526,돼지갈비,광주,동구,대인동,35.154***,126.913***,0
1877,20200526,돼지갈비,충북,괴산군 괴산읍,대덕리,36.808***,127.812***,0
1878,20200526,돼지갈비,경북,영천시 ,완산동,35.964***,128.936***,0
1882,20200526,떡볶이,경기,용인시 수지구,죽전동,37.323***,127.123***,0
1883,20200526,떡볶이,경기,용인시 수지구,죽전동,37.322***,127.123***,0
1888,20200526,막국수,서울,중구,약수[신당3동]동,37.553***,127.010***,0
1889,20200526,만두,전남,순천시 ,연향동,34.952***,127.519***,0
1890,20200526,만두,제주,제주시 ,일도2동,33.500***,126.550***,0
1891,20200526,말고기,강원,동해시 ,천곡동,37.521***,129.113***,0
1969,20200526,베트남음식,경기,고양시 일산동구,장항동,37.662***,126.766***,0
2028,20200526,분식,부산,사하구,장림1동,35.082***,128.970***,0
2029,20200526,분식,경남,김해시 ,내동,35.242***,128.868***,0
2030,20200526,분식,충북,영동군 추풍령면,추풍령리,36.211***,128.001***,0
2031,20200526,분식,서울,마포구,공덕동,37.544***,126.952***,0
2032,20200526,분식,부산,사하구,장림1동,35.082***,128.970***,0
2033,20200526,분식,부산,수영구,남천동,35.142***,129.109***,0
2034,20200526,분식,전북,전주시 완산구,중화산동2가,35.817***,127.124***,0
2109,20200526,순대.순대국,전남,목포시 ,산정동,34.792***,126.402***,0
2110,20200526,순대국밥,경북,안동시 ,운흥동,36.563***,128.733***,0
2132,20200526,아귀요리,전남,여수시 ,화장동,34.774***,127.648***,0
2147,20200526,야식,부산,부산진구,전포2동,35.159***,129.068***,0
2155,20200526,양식,경기,안산시 단원구,원곡동,37.328***,126.789***,0
2156,20200526,양식,대구,달서구,호림동,35.839***,128.489***,0
2157,20200526,양식,대구,달서구,호림동,35.839***,128.489***,0
2158,20200526,양식,부산,중구,남포동6가,35.097***,129.026***,0
2159,20200526,양식,전북,익산시 ,어양동,35.953***,126.981***,0
2160,20200526,양식,경북,포항시 북구,신흥동,36.038***,129.364***,0
2161,20200526,양식,서울,용산구,이태원동,37.533***,126.989***,0
2162,20200526,양식,부산,북구,덕천동,35.209***,129.006***,0
2206,20200526,오리고기,충남,홍성군 홍성읍,월산리,36.598***,126.647***,0
2243,20200526,육류.고기요리,경기,용인시 기흥구,고매동,37.226***,127.109***,0
2244,20200526,육류.고기요리,경기,수원시 권선구,서둔동,37.270***,126.984***,0
2250,20200526,음식점-생태/동태/명태요리전문,경기,화성시 남양읍,신남리,37.193***,126.821***,0
2251,20200526,음식점-생태/동태/명태요리전문,경기,화성시 남양읍,신남리,37.193***,126.821***,0
2252,20200526,음식점-이자카야,경기,고양시 일산동구,장항동,37.662***,126.767***,0
2309,20200526,일식,서울,영등포구,여의도동,37.518***,126.930***,0
2310,20200526,일식,경기,고양시 일산서구,탄현동,37.691***,126.762***,0
2311,20200526,일식,제주,서귀포시 ,서귀동,33.248***,126.562***,0
2312,20200526,일식,서울,마포구,연남동,37.561***,126.918***,0
2313,20200526,일식,대구,수성구,두산동,35.833***,128.622***,0
2333,20200526,장어,대구,달성군 가창면,옥분리,35.762***,128.651***,0
2391,20200526,족발.보쌈,경기,안양시 동안구,호계동,37.377***,126.956***,0
2392,20200526,족발.보쌈,경기,수원시 장안구,정자동,37.307***,126.982***,0
2393,20200526,족발.보쌈,전남,순천시 ,왕지동,34.970***,127.523***,0
2442,20200526,중국음식,부산,해운대구,좌동,35.172***,129.180***,1
2443,20200526,중국음식,서울,서초구,서초동,37.484***,127.021***,0
2444,20200526,중국음식,광주,동구,계림1동,35.158***,126.919***,0
2445,20200526,중국음식,광주,북구,각화동,35.183***,126.939***,0
2446,20200526,중국음식,부산,해운대구,중동,35.160***,129.171***,0
2447,20200526,중국음식,서울,서초구,서초동,37.484***,127.021***,0
2448,20200526,중국음식,광주,북구,문흥1동,35.186***,126.921***,0
2449,20200526,중국음식,경북,청송군 현동면,도평리,36.290***,129.018***,0
2450,20200526,중국음식,강원,정선군 고한읍,고한리,37.201***,128.852***,0
2467,20200526,쭈꾸미요리,경기,수원시 영통구,영통동,37.264***,127.077***,0
2520,20200526,치킨,경기,안양시 동안구,호계2동,37.382***,126.951***,0
2521,20200526,치킨,경남,거제시 ,장승포동,34.862***,128.722***,0
2522,20200526,치킨,서울,동작구,본동,37.509***,126.951***,0
2523,20200526,치킨,부산,부산진구,부전동,35.151***,129.061***,0
2524,20200526,치킨,경기,고양시 덕양구,화정동,37.632***,126.826***,0
2525,20200526,치킨,인천,서구,연희동,37.547***,126.675***,0
2526,20200526,치킨,서울,동작구,본동,37.509***,126.951***,0
2527,20200526,치킨,부산,부산진구,부전동,35.151***,129.061***,0
2528,20200526,치킨,경기,오산시 ,갈곶동,37.133***,127.067***,0
2529,20200526,치킨,경남,합천군 가야면,야천리,35.761***,128.139***,0
2530,20200526,치킨,경북,청도군 이서면,학산리,35.663***,128.668***,0
2531,20200526,치킨,울산,남구,달동,35.540***,129.322***,0
2532,20200526,치킨,울산,남구,달동,35.540***,129.322***,0
2539,20200526,카페,서울,서초구,서초동,37.493***,127.013***,0
2540,20200526,카페,서울,강남구,역삼동,37.499***,127.036***,0
2541,20200526,카페,경기,성남시 분당구,정자동,37.371***,127.107***,0
2542,20200526,카페,서울,중구,황학동,37.567***,127.019***,0
2543,20200526,카페,강원,원주시 ,개운동,37.342***,127.955***,0
2544,20200526,카페,서울,중구,서소문동,37.563***,126.975***,0
2545,20200526,카페,강원,속초시 ,조양동,38.190***,128.597***,0
2546,20200526,카페,서울,중구,황학동,37.567***,127.019***,0
2547,20200526,카페,서울,종로구,적선동,37.575***,126.973***,0
2548,20200526,카페,서울,관악구,봉천동,37.481***,126.953***,0
2549,20200526,카페,경북,경주시 ,탑동,35.825***,129.210***,0
2550,20200526,카페,대전,유성구,노은동,36.367***,127.319***,0
2551,20200526,카페,경기,수원시 팔달구,인계동,37.261***,127.035***,0
2552,20200526,칼국수,경기,광명시 ,하안동,37.462***,126.878***,0
2613,20200526,패스트푸드(종합),경기,양주시 ,광사동,37.796***,127.079***,0
2614,20200526,패스트푸드(종합),경기,양주시 ,광사동,37.796***,127.079***,0
2623,20200526,포장마차,광주,서구,화정1동,35.156***,126.877***,0
2624,20200526,포장마차,전남,여수시 ,학동,34.757***,127.666***,0
2625,20200526,포장마차,강원,원주시 ,태장동,37.386***,127.948***,0
2649,20200526,한식,경기,이천시 ,창전동,37.284***,127.446***,1
2650,20200526,한식,서울,강남구,도곡동,37.489***,127.033***,0
2651,20200526,한식,경기,성남시 분당구,야탑1동,37.410***,127.130***,0
2652,20200526,한식,경기,안산시 단원구,초지동,37.308***,126.815***,0
2653,20200526,한식,경기,양평군 용문면,다문리,37.480***,127.589***,0
2654,20200526,한식,제주,서귀포시 ,중문동,33.251***,126.427***,0
2655,20200526,한식,경기,하남시 ,광암동,37.515***,127.167***,0
2656,20200526,한식,경기,부천시 원미구,상동,37.506***,126.756***,0
2657,20200526,한식,서울,구로구,구로3동,37.483***,126.900***,0
2658,20200526,한식,경기,수원시 팔달구,인계동,37.266***,127.022***,0
2659,20200526,한식,경남,진주시 ,하대동,35.189***,128.123***,0
2660,20200526,한식,강원,태백시 ,문곡소도동,37.118***,129.003***,0
2661,20200526,한식,광주,광산구,월곡동,35.171***,126.809***,0
2662,20200526,한식,경북,구미시 ,봉곡동,36.149***,128.315***,0
2663,20200526,한식,인천,서구,불로동,37.612***,126.685***,0
2664,20200526,한식,경기,남양주시 화도읍,금남리,37.636***,127.355***,0
2665,20200526,한식,경기,가평군 상면,덕현리,37.754***,127.408***,0
2666,20200526,한식,경기,수원시 팔달구,남수동,37.279***,127.019***,0
2667,20200526,한식,경남,거제시 ,고현동,34.888***,128.621***,0
2668,20200526,한식,경북,포항시 남구,해도동,36.024***,129.371***,0
2669,20200526,한식,전북,김제시 ,교동,35.796***,126.880***,0
2670,20200526,한식,경기,수원시 팔달구,북수동,37.287***,127.015***,0
2671,20200526,한식,전남,해남군 해남읍,부흥리,34.555***,126.575***,0
2672,20200526,한식,서울,동대문구,장안동,37.575***,127.073***,0
2673,20200526,한식,경기,여주시 능서면,백석리,37.332***,127.595***,0
2674,20200526,한식,인천,중구,송월동2가,37.479***,126.619***,0
2675,20200526,한식,전남,화순군 화순읍,광덕리,35.058***,126.990***,0
2676,20200526,한식,경기,연천군 전곡읍,전곡리,38.014***,127.057***,0
